"","sl_cup_1_best.coef","sl_cup_1_best.cvRisk","sl_cup_1_best.times.train.3."
"ranger_250_3_All",0,1.08014107078364,266.971
"ranger_500_3_All",0.530804910043391,1.06866974885279,266.971
"ranger_750_3_All",0,1.07439776096966,266.971
"ranger_1000_3_All",0.0816276066848721,1.06886306475757,266.971
"ranger_1750_3_All",0.0179957560929647,1.06930112833008,266.971
"ranger_2000_3_All",0,1.07383597929355,266.971
"ranger_2500_3_All",0,1.07247744479736,266.971
"ranger_3000_3_All",0,1.0747263412059,266.971
"ksvm_rbfdot_2.5_1_All",0,1.17567831387894,266.971
"ksvm_rbfdot_0.001_1_All",0,1.16913702643989,266.971
"ksvm_rbfdot_0.2_1_All",0,1.16523609432619,266.971
"ksvm_rbfdot_3.5_1_All",0,1.16543805984787,266.971
"ksvm_rbfdot_2.5_2_All",0,1.16655781161912,266.971
"ksvm_rbfdot_0.001_2_All",0,1.16582535702606,266.971
"ksvm_rbfdot_0.2_2_All",0,1.16939617469459,266.971
"ksvm_rbfdot_3.5_2_All",0.0367035868594663,1.15889283149835,266.971
"ksvm_rbfdot_2.5_3_All",0,1.1892381568754,266.971
"ksvm_rbfdot_0.001_3_All",0.229269431098046,1.17791986652146,266.971
"ksvm_rbfdot_0.2_3_All",0,1.18544469206375,266.971
"ksvm_rbfdot_3.5_3_All",0,1.17820959184203,266.971
"ksvm_rbfdot_2.5_0.7_All",0.0942073593146963,1.17485174854095,266.971
"ksvm_rbfdot_0.001_0.7_All",0,1.17363768328958,266.971
"ksvm_rbfdot_0.2_0.7_All",0,1.1833937948271,266.971
"ksvm_rbfdot_3.5_0.7_All",0,1.17804448174122,266.971
"glmnet_0.1_80_TRUE_All",0.009391349906564,2.3263263954153,266.971
"glmnet_0.1_20_TRUE_All",0,2.32819535321056,266.971
"glmnet_0.1_50_TRUE_All",0,2.32880771516185,266.971
"glmnet_0.1_90_TRUE_All",0,2.32677138738308,266.971
"glmnet_0.6_20_TRUE_All",0,2.32913532389643,266.971
"glmnet_0.6_60_TRUE_All",0,2.32784512515069,266.971
"glmnet_0.3_100_TRUE_All",0,2.32631455378885,266.971
