,sl_cup_glmnet_1.coef,sl_cup_glmnet_1.cvRisk,,,
glmnet_0.1_100_TRUE_All,1,2.31665728472611,,,
glmnet_0.2_100_TRUE_All,0,2.31701166107655,,,
glmnet_0.5_100_TRUE_All,0,2.317424715166,,alpha,"0, 0.1, 0.2, 0.6, 1"
glmnet_0.7_100_TRUE_All,0,2.31762421430454,,nlambda,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100"
glmnet_0.3_100_TRUE_All,0,2.31763491211702,,useMin,TRUE
glmnet_0.8_100_TRUE_All,0,2.31805200534484,,,
glmnet_0.9_100_TRUE_All,0,2.31817481497592,,,
glmnet_0.4_100_TRUE_All,0,2.3182814384309,,,
glmnet_0.6_100_TRUE_All,0,2.31840629767847,,,
glmnet_1_100_TRUE_All,0,2.31845535412324,,,
glmnet_0.2_200_TRUE_All,0,2.31900491777523,,,
glmnet_0.1_200_TRUE_All,0,2.3191253842945,,,
glmnet_0.3_200_TRUE_All,0,2.31961196771874,,,jj
glmnet_0.4_200_TRUE_All,0,2.32019860338079,,,
glmnet_0.5_200_TRUE_All,0,2.32024204528758,,,
glmnet_0.7_200_TRUE_All,0,2.32029655504588,,,
glmnet_0.8_200_TRUE_All,0,2.32037105277903,,,
glmnet_0.6_200_TRUE_All,0,2.32050061659108,,,
glmnet_1_200_TRUE_All,0,2.32062767770822,,,
glmnet_0.9_200_TRUE_All,0,2.32068618279654,,,
glmnet_0.1_300_TRUE_All,0,2.32087249001237,,,
glmnet_0.2_300_TRUE_All,0,2.32125759170435,,,
glmnet_0.3_300_TRUE_All,0,2.32166587266369,,,
glmnet_0.4_300_TRUE_All,0,2.32195200041573,,,
glmnet_0.5_300_TRUE_All,0,2.32227006914796,,,
glmnet_0.6_300_TRUE_All,0,2.32239946546965,,,
glmnet_0.7_300_TRUE_All,0,2.3226117298932,,,
glmnet_0.8_300_TRUE_All,0,2.32264996699209,,,
glmnet_1_300_TRUE_All,0,2.32275767700132,,,
glmnet_0.9_300_TRUE_All,0,2.32280952873333,,,
glmnet_0.1_400_TRUE_All,0,2.32307937390765,,,
glmnet_0.2_400_TRUE_All,0,2.32313879131909,,,
glmnet_0.3_400_TRUE_All,0,2.32353871414514,,,
glmnet_0.4_400_TRUE_All,0,2.32389736623743,,,
glmnet_0.5_400_TRUE_All,0,2.32445071383344,,,
glmnet_0.6_400_TRUE_All,0,2.324660517233,,,
glmnet_0.7_400_TRUE_All,0,2.32474751261877,,,
glmnet_0.8_400_TRUE_All,0,2.32486568637748,,,
glmnet_0.9_400_TRUE_All,0,2.32496023947027,,,
glmnet_1_400_TRUE_All,0,2.32506540566061,,,
glmnet_0.2_500_TRUE_All,0,2.32532649400932,,,
glmnet_0.1_500_TRUE_All,0,2.32545494348583,,,
glmnet_0.3_500_TRUE_All,0,2.32574059478225,,,
glmnet_0.4_500_TRUE_All,0,2.32611134981772,,,
glmnet_0.5_500_TRUE_All,0,2.32643587507654,,,
glmnet_0.6_500_TRUE_All,0,2.32675135149813,,,
glmnet_0.7_500_TRUE_All,0,2.32712598125474,,,
glmnet_0.9_500_TRUE_All,0,2.327239018639,,,
glmnet_0.8_500_TRUE_All,0,2.32727637255782,,,
glmnet_0.2_600_TRUE_All,0,2.32732821787775,,,
glmnet_1_500_TRUE_All,0,2.32745631679335,,,
glmnet_0.1_600_TRUE_All,0,2.32783750653992,,,
glmnet_0.3_600_TRUE_All,0,2.32792517513859,,,
glmnet_0.4_600_TRUE_All,0,2.32832430885871,,,
glmnet_0.5_600_TRUE_All,0,2.32879345137971,,,
glmnet_0.6_600_TRUE_All,0,2.32901174999655,,,
glmnet_0.7_600_TRUE_All,0,2.32921478869884,,,
glmnet_0.8_600_TRUE_All,0,2.32943911914958,,,
glmnet_0.9_600_TRUE_All,0,2.32961310525787,,,
glmnet_0.2_700_TRUE_All,0,2.32966846140589,,,
glmnet_1_600_TRUE_All,0,2.32972477419012,,,
glmnet_0.3_700_TRUE_All,0,2.33013396445762,,,
glmnet_0.1_700_TRUE_All,0,2.33014378086273,,,
glmnet_0.4_700_TRUE_All,0,2.3305770896814,,,
glmnet_0.5_700_TRUE_All,0,2.33096096919925,,,
glmnet_0.6_700_TRUE_All,0,2.33124943789038,,,
glmnet_0.7_700_TRUE_All,0,2.33153598661505,,,
glmnet_0.8_700_TRUE_All,0,2.33162839426493,,,
glmnet_0.2_800_TRUE_All,0,2.33180675589309,,,
glmnet_0.9_700_TRUE_All,0,2.33183871208263,,,
glmnet_1_700_TRUE_All,0,2.33199262391647,,,
glmnet_0.3_800_TRUE_All,0,2.33229530448669,,,
glmnet_0.1_800_TRUE_All,0,2.33246780771126,,,
glmnet_0.4_800_TRUE_All,0,2.33286462397698,,,
glmnet_0.5_800_TRUE_All,0,2.33315169617473,,,
glmnet_0.6_800_TRUE_All,0,2.33351332448597,,,
glmnet_0.7_800_TRUE_All,0,2.33382020149418,,,
glmnet_0.8_800_TRUE_All,0,2.33387074468909,,,
glmnet_0.2_900_TRUE_All,0,2.33390869125954,,,
glmnet_0.9_800_TRUE_All,0,2.33421647010436,,,
glmnet_1_800_TRUE_All,0,2.33431048510704,,,
glmnet_0.3_900_TRUE_All,0,2.33435927930614,,,
glmnet_0.1_900_TRUE_All,0,2.3347847852897,,,
glmnet_0.4_900_TRUE_All,0,2.33495768465992,,,
glmnet_0.5_900_TRUE_All,0,2.33533096337067,,,
glmnet_0.6_900_TRUE_All,0,2.33570139393738,,,
glmnet_0.7_900_TRUE_All,0,2.33588127655752,,,
glmnet_0.8_900_TRUE_All,0,2.33608411787394,,,
glmnet_0.2_1000_TRUE_All,0,2.33609602541103,,,
glmnet_0.9_900_TRUE_All,0,2.33647235173484,,,
glmnet_1_900_TRUE_All,0,2.33660102025519,,,
glmnet_0.3_1000_TRUE_All,0,2.33673887337453,,,
