,sl_cup_glmnet_2.coef,sl_cup_glmnet_2.cvRisk,sl_cup_glmnet_2.times.train.3.
glmnet_0.2_100_TRUE_All,0.96399365926539,3.69596591545934,460.959000000001
glmnet_0.1_100_TRUE_All,0,3.69621392412913,460.959000000001
glmnet_0.1_200_TRUE_All,0,3.69629649654887,460.959000000001
glmnet_0.4_100_TRUE_All,0,3.69631727327963,460.959000000001
glmnet_0.3_100_TRUE_All,0,3.69657265890626,460.959000000001
glmnet_0.5_100_TRUE_All,0,3.69659819967213,460.959000000001
glmnet_0.6_100_TRUE_All,0,3.6966305092317,460.959000000001
glmnet_0.7_100_TRUE_All,0,3.69675745073886,460.959000000001
glmnet_0.3_200_TRUE_All,0,3.69683101140338,460.959000000001
glmnet_0.8_100_TRUE_All,0,3.69686351169716,460.959000000001
glmnet_0.1_400_TRUE_All,0,3.69687774438002,460.959000000001
glmnet_0.4_200_TRUE_All,0,3.69691667994993,460.959000000001
glmnet_0.5_200_TRUE_All,0,3.69705139802361,460.959000000001
glmnet_0.1_300_TRUE_All,0,3.69706226515573,460.959000000001
glmnet_0.2_200_TRUE_All,0,3.69706720102451,460.959000000001
glmnet_0.9_100_TRUE_All,0,3.69711732691538,460.959000000001
glmnet_0.7_200_TRUE_All,0,3.69721922129543,460.959000000001
glmnet_1_100_TRUE_All,0,3.69722179936677,460.959000000001
glmnet_0.6_200_TRUE_All,0,3.69726299149175,460.959000000001
glmnet_0.1_500_TRUE_All,0,3.69729117806038,460.959000000001
glmnet_0.8_200_TRUE_All,0,3.69765207571708,460.959000000001
glmnet_0.3_300_TRUE_All,0,3.697698841698,460.959000000001
glmnet_0.9_200_TRUE_All,0,3.69771543778826,460.959000000001
glmnet_0.1_600_TRUE_All,0,3.69776662551044,460.959000000001
glmnet_0.2_300_TRUE_All,0,3.69776724121747,460.959000000001
glmnet_0.4_300_TRUE_All,0,3.69782587217562,460.959000000001
glmnet_1_200_TRUE_All,0,3.69783987121171,460.959000000001
glmnet_0.2_400_TRUE_All,0,3.69790257515046,460.959000000001
glmnet_0.2_500_TRUE_All,0,3.69796997092107,460.959000000001
glmnet_0.5_300_TRUE_All,0,3.69812413973889,460.959000000001
glmnet_0.1_700_TRUE_All,0,3.69835693001713,460.959000000001
glmnet_0.3_400_TRUE_All,0,3.69846378491375,460.959000000001
glmnet_0.2_600_TRUE_All,0,3.69861882176457,460.959000000001
glmnet_0.6_300_TRUE_All,0,3.69862781444024,460.959000000001
glmnet_0.4_400_TRUE_All,0,3.69867435163346,460.959000000001
glmnet_0.7_300_TRUE_All,0,3.69871770168102,460.959000000001
glmnet_0.1_800_TRUE_All,0,3.69884137539695,460.959000000001
glmnet_0.3_500_TRUE_All,0,3.69912159544361,460.959000000001
glmnet_0.5_400_TRUE_All,0,3.69920369666299,460.959000000001
glmnet_0.8_300_TRUE_All,0,3.69923268500268,460.959000000001
glmnet_0.2_700_TRUE_All,0,3.69923779843564,460.959000000001
glmnet_0.9_300_TRUE_All,0,3.69935241362592,460.959000000001
glmnet_0.3_600_TRUE_All,0,3.69937397506521,460.959000000001
glmnet_1_300_TRUE_All,0,3.69939087678126,460.959000000001
glmnet_0.1_900_TRUE_All,0,3.69947233198639,460.959000000001
glmnet_0.4_500_TRUE_All,0,3.69947589578208,460.959000000001
glmnet_0.6_400_TRUE_All,0,3.69961710705177,460.959000000001
glmnet_0.3_700_TRUE_All,0,3.6997920768297,460.959000000001
glmnet_0.2_800_TRUE_All,0,3.699829203255,460.959000000001
glmnet_0.7_400_TRUE_All,0,3.69984193738433,460.959000000001
glmnet_0.5_500_TRUE_All,0,3.69989308716604,460.959000000001
glmnet_0.1_1000_TRUE_All,0,3.70002769859153,460.959000000001
glmnet_0.4_700_TRUE_All,0,3.70011475748793,460.959000000001
glmnet_0.8_400_TRUE_All,0,3.70016617581378,460.959000000001
glmnet_0.9_400_TRUE_All,0,3.70022390416102,460.959000000001
glmnet_1_400_TRUE_All,0,3.70026261708983,460.959000000001
glmnet_0.6_500_TRUE_All,0,3.70034767500022,460.959000000001
glmnet_0.4_600_TRUE_All,0,3.70036987904995,460.959000000001
glmnet_0.5_600_TRUE_All,0,3.70038995901086,460.959000000001
glmnet_0.5_700_TRUE_All,0,3.70039202380374,460.959000000001
glmnet_0.3_800_TRUE_All,0,3.70039359340851,460.959000000001
glmnet_0.2_900_TRUE_All,0,3.70046481902579,460.959000000001
glmnet_0.7_500_TRUE_All,0,3.70048054666069,460.959000000001
glmnet_0.4_800_TRUE_All,0,3.70072677580486,460.959000000001
glmnet_0.6_600_TRUE_All,0,3.70078375724641,460.959000000001
glmnet_0.8_500_TRUE_All,0,3.70090272374167,460.959000000001
glmnet_0.9_500_TRUE_All,0,3.70096604838454,460.959000000001
glmnet_0.5_800_TRUE_All,0,3.70105531103097,460.959000000001
glmnet_0.6_700_TRUE_All,0,3.70107606749985,460.959000000001
glmnet_0.3_900_TRUE_All,0,3.70112675286197,460.959000000001
glmnet_0.2_1000_TRUE_All,0,3.7011520819266,460.959000000001
glmnet_1_500_TRUE_All,0,3.70128527400515,460.959000000001
glmnet_0.7_600_TRUE_All,0,3.70131794426633,460.959000000001
glmnet_0.8_600_TRUE_All,0,3.70143934393706,460.959000000001
glmnet_0.6_800_TRUE_All,0,3.70144233107457,460.959000000001
glmnet_0.4_900_TRUE_All,0,3.7014622953481,460.959000000001
glmnet_0.9_600_TRUE_All,0,3.70167707879943,460.959000000001
glmnet_0.3_1000_TRUE_All,0,3.70175629021358,460.959000000001
glmnet_0.7_800_TRUE_All,0,3.70176308291944,460.959000000001
glmnet_0.5_900_TRUE_All,0,3.70183306639501,460.959000000001
glmnet_1_600_TRUE_All,0,3.70186070543989,460.959000000001
glmnet_0.6_900_TRUE_All,0,3.70212569511428,460.959000000001
glmnet_0.4_1000_TRUE_All,0,3.70220216084363,460.959000000001
glmnet_0.8_700_TRUE_All,0,3.70235064323469,460.959000000001
glmnet_0.7_700_TRUE_All,0,3.7023743913805,460.959000000001
glmnet_0.7_900_TRUE_All,0,3.70239193452842,460.959000000001
glmnet_0.5_1000_TRUE_All,0,3.70249338362773,460.959000000001
glmnet_0.9_700_TRUE_All,0,3.70264281016022,460.959000000001
glmnet_1_700_TRUE_All,0,3.70270631194384,460.959000000001
