"","sl_cup_ranger_2.coef","sl_cup_ranger_2.cvRisk"
"ranger_250_1_All",0,2.50321603806423
"ranger_350_1_All",0,2.48244331628106
"ranger_500_1_All",0,2.47844021547183
"ranger_1000_1_All",0,2.48692322290797
"ranger_1500_1_All",0,2.48432805465786
"ranger_2000_1_All",0,2.47546820241924
"ranger_2500_1_All",0,2.48465487123469
"ranger_3000_1_All",0,2.47623994877754
"ranger_4000_1_All",0,2.47587240307064
"ranger_250_2_All",0.0373484118201506,2.35276075943004
"ranger_350_2_All",0.385666870286438,2.34324454270701
"ranger_500_2_All",0,2.36949815637576
"ranger_1000_2_All",0,2.36953672410652
"ranger_1500_2_All",0,2.36417885054453
"ranger_2000_2_All",0,2.35637401109273
"ranger_2500_2_All",0,2.36393061536624
"ranger_3000_2_All",0,2.35906159765752
"ranger_4000_2_All",0,2.35373758267347
"ranger_250_3_All",0,2.37430733546369
"ranger_350_3_All",0,2.35883623292461
"ranger_500_3_All",0,2.33786553228536
"ranger_1000_3_All",0,2.35231296061566
"ranger_1500_3_All",0,2.33440553042864
"ranger_2000_3_All",0,2.33990019392791
"ranger_2500_3_All",0,2.34612455381463
"ranger_3000_3_All",0,2.34667820317745
"ranger_4000_3_All",0,2.34102763328982
"ranger_250_4_All",0.351985719214693,2.3385917728046
"ranger_350_4_All",0.224998998678719,2.33844264259386
"ranger_500_4_All",0,2.37067933368675
"ranger_1000_4_All",0,2.35881626438383
"ranger_1500_4_All",0,2.36823321401327
"ranger_2000_4_All",0,2.36610744568987
"ranger_2500_4_All",0,2.35964157879397
"ranger_3000_4_All",0,2.35428162957094
"ranger_4000_4_All",0,2.35873483502271
"ranger_250_5_All",0,2.39402192864461
"ranger_350_5_All",0,2.38918946779111
"ranger_500_5_All",0,2.40412623621387
"ranger_1000_5_All",0,2.3791844931304
"ranger_1500_5_All",0,2.38421910459765
"ranger_2000_5_All",0,2.37780153662643
"ranger_2500_5_All",0,2.3796922116048
"ranger_3000_5_All",0,2.38568348626222
"ranger_4000_5_All",0,2.3861420775483
"ranger_250_6_All",0,2.38492077952526
"ranger_350_6_All",0,2.40256080095338
"ranger_500_6_All",0,2.41699114431185
"ranger_1000_6_All",0,2.42158397498846
"ranger_1500_6_All",0,2.40010484344359
"ranger_2000_6_All",0,2.40997899992876
"ranger_2500_6_All",0,2.40457856886654
"ranger_3000_6_All",0,2.4087477329258
"ranger_4000_6_All",0,2.40533077992307
"ranger_250_7_All",0,2.44428454650703
"ranger_350_7_All",0,2.4216158302733
"ranger_500_7_All",0,2.43755651936944
"ranger_1000_7_All",0,2.42742740622969
"ranger_1500_7_All",0,2.42235212126469
"ranger_2000_7_All",0,2.42927102524672
"ranger_2500_7_All",0,2.42209208825973
"ranger_3000_7_All",0,2.41738979977437
"ranger_4000_7_All",0,2.43084012889205
"ranger_250_8_All",0,2.45067671765376
"ranger_350_8_All",0,2.44491672556123
"ranger_500_8_All",0,2.43885166713592
"ranger_1000_8_All",0,2.4425194551207
"ranger_1500_8_All",0,2.44715708207583
"ranger_2000_8_All",0,2.44269754473288
"ranger_2500_8_All",0,2.44439600236559
"ranger_3000_8_All",0,2.44899485716394
"ranger_4000_8_All",0,2.44204314056979
"ranger_250_9_All",0,2.45352663537412
"ranger_350_9_All",0,2.46651849772817
"ranger_500_9_All",0,2.45105905402971
"ranger_1000_9_All",0,2.45406478872814
"ranger_1500_9_All",0,2.45675984718967
"ranger_2000_9_All",0,2.45581783103565
"ranger_2500_9_All",0,2.44908020089798
"ranger_3000_9_All",0,2.45732130694321
"ranger_4000_9_All",0,2.45429018325507
