"","sl_cup_ranger_2.coef","sl_cup_ranger_2.cvRisk"
"ranger_150_2_All",0,2.3958696098814
"ranger_250_2_All",0.903522484008733,2.34018307446784
"ranger_350_2_All",0,2.39892389908788
"ranger_500_2_All",0,2.39531301930487
"ranger_750_2_All",0,2.37404068472649
"ranger_1000_2_All",0,2.37768803268313
"ranger_1250_2_All",0,2.37859789276364
"ranger_1500_2_All",0,2.38109442867548
"ranger_1750_2_All",0,2.38389017787091
"ranger_2000_2_All",0,2.37791633274795
"ranger_2250_2_All",0,2.37945378843759
"ranger_2500_2_All",0,2.37465682591204
"ranger_4000_2_All",0,2.37496265774942
"ranger_150_3_All",0,2.40013632408899
"ranger_250_3_All",0,2.41299995580586
"ranger_350_3_All",0,2.40416638042487
"ranger_500_3_All",0,2.36935961979695
"ranger_750_3_All",0,2.36695614032597
"ranger_1000_3_All",0,2.39248348032778
"ranger_1250_3_All",0,2.38616642868358
"ranger_1500_3_All",0,2.37519327259371
"ranger_1750_3_All",0,2.36836436613424
"ranger_2000_3_All",0,2.38501116340442
"ranger_2250_3_All",0,2.37888020079167
"ranger_2500_3_All",0,2.37740947170037
"ranger_4000_3_All",0,2.38437991164277
"ranger_150_4_All",0,2.4233012179212
"ranger_250_4_All",0,2.39519145084292
"ranger_350_4_All",0,2.42382822809163
"ranger_500_4_All",0.0964775159912671,2.38785688566987
"ranger_750_4_All",0,2.39698482020888
"ranger_1000_4_All",0,2.39075279603258
"ranger_1250_4_All",0,2.391091260887
"ranger_1500_4_All",0,2.39347207253815
"ranger_1750_4_All",0,2.41157023999321
"ranger_2000_4_All",0,2.40258725404159
"ranger_2250_4_All",0,2.40847404730659
"ranger_2500_4_All",0,2.39462451364444
"ranger_4000_4_All",0,2.40403276317136
