"","sl_cup_svm_1.coef","sl_cup_svm_1.cvRisk","sl_cup_svm_1.times.train.3."
"ksvm_rbfdot_0.001_0.1_All",0,1.50702089474727,293.159
"ksvm_rbfdot_0.01_0.1_All",0,1.53556848453901,293.159
"ksvm_rbfdot_0.1_0.1_All",0,1.52431107933738,293.159
"ksvm_rbfdot_0.2_0.1_All",0,1.50758380625822,293.159
"ksvm_rbfdot_0.3_0.1_All",0,1.50451743892096,293.159
"ksvm_rbfdot_0.4_0.1_All",0,1.52696464231418,293.159
"ksvm_rbfdot_0.5_0.1_All",0,1.48225915003505,293.159
"ksvm_rbfdot_0.6_0.1_All",0,1.52539154164268,293.159
"ksvm_rbfdot_0.7_0.1_All",0,1.52005519132901,293.159
"ksvm_rbfdot_2.5_0.1_All",0,1.52884445627976,293.159
"ksvm_rbfdot_3_0.1_All",0,1.52869391844198,293.159
"ksvm_rbfdot_3.5_0.1_All",0,1.52096941508066,293.159
"ksvm_rbfdot_0.001_0.3_All",0,1.25947281609483,293.159
"ksvm_rbfdot_0.01_0.3_All",0,1.24300540883447,293.159
"ksvm_rbfdot_0.1_0.3_All",0,1.24366368865393,293.159
"ksvm_rbfdot_0.2_0.3_All",0,1.2454798714318,293.159
"ksvm_rbfdot_0.3_0.3_All",0,1.24138928542847,293.159
"ksvm_rbfdot_0.4_0.3_All",0,1.24403440547828,293.159
"ksvm_rbfdot_0.5_0.3_All",0,1.25233934217181,293.159
"ksvm_rbfdot_0.6_0.3_All",0,1.248339871831,293.159
"ksvm_rbfdot_0.7_0.3_All",0,1.24289784505205,293.159
"ksvm_rbfdot_2.5_0.3_All",0,1.26045970656161,293.159
"ksvm_rbfdot_3_0.3_All",0,1.23719693028061,293.159
"ksvm_rbfdot_3.5_0.3_All",0,1.2477361658648,293.159
"ksvm_rbfdot_0.001_0.7_All",0,1.16348106257389,293.159
"ksvm_rbfdot_0.01_0.7_All",0,1.16185291158957,293.159
"ksvm_rbfdot_0.1_0.7_All",0,1.16477915625163,293.159
"ksvm_rbfdot_0.2_0.7_All",0,1.16811559422692,293.159
"ksvm_rbfdot_0.3_0.7_All",0,1.16462774917221,293.159
"ksvm_rbfdot_0.4_0.7_All",0,1.16441167228869,293.159
"ksvm_rbfdot_0.5_0.7_All",0,1.16050194173418,293.159
"ksvm_rbfdot_0.6_0.7_All",0,1.16202888836094,293.159
"ksvm_rbfdot_0.7_0.7_All",0,1.16533624427477,293.159
"ksvm_rbfdot_2.5_0.7_All",0.55618373617762,1.15597884963666,293.159
"ksvm_rbfdot_3_0.7_All",0,1.16668711052074,293.159
"ksvm_rbfdot_3.5_0.7_All",0,1.16776739046393,293.159
"ksvm_rbfdot_0.001_1_All",0,1.15801454586638,293.159
"ksvm_rbfdot_0.01_1_All",0,1.15927370346514,293.159
"ksvm_rbfdot_0.1_1_All",0,1.16235222033934,293.159
"ksvm_rbfdot_0.2_1_All",0,1.15641761482839,293.159
"ksvm_rbfdot_0.3_1_All",0,1.15768167466522,293.159
"ksvm_rbfdot_0.4_1_All",0,1.16050987621274,293.159
"ksvm_rbfdot_0.5_1_All",0,1.16151380723287,293.159
"ksvm_rbfdot_0.6_1_All",0,1.16483652630598,293.159
"ksvm_rbfdot_0.7_1_All",0,1.1588344576429,293.159
"ksvm_rbfdot_2.5_1_All",0,1.16177529735841,293.159
"ksvm_rbfdot_3_1_All",0,1.16137580750729,293.159
"ksvm_rbfdot_3.5_1_All",0,1.15664345479981,293.159
"ksvm_rbfdot_0.001_2_All",0,1.15361206718564,293.159
"ksvm_rbfdot_0.01_2_All",0,1.16158785215773,293.159
"ksvm_rbfdot_0.1_2_All",0,1.1612808889145,293.159
"ksvm_rbfdot_0.2_2_All",0,1.15433471066464,293.159
"ksvm_rbfdot_0.3_2_All",0,1.16017770335864,293.159
"ksvm_rbfdot_0.4_2_All",0,1.15631039180923,293.159
"ksvm_rbfdot_0.5_2_All",0,1.16177724184949,293.159
"ksvm_rbfdot_0.6_2_All",0,1.15963217387481,293.159
"ksvm_rbfdot_0.7_2_All",0,1.16042159480102,293.159
"ksvm_rbfdot_2.5_2_All",0,1.15936081074533,293.159
"ksvm_rbfdot_3_2_All",0,1.15412621857041,293.159
"ksvm_rbfdot_3.5_2_All",0,1.15194775645868,293.159
"ksvm_rbfdot_0.001_3_All",0,1.16717260175991,293.159
"ksvm_rbfdot_0.01_3_All",0,1.16115967029215,293.159
"ksvm_rbfdot_0.1_3_All",0,1.16930611315924,293.159
"ksvm_rbfdot_0.2_3_All",0,1.16215498239526,293.159
"ksvm_rbfdot_0.3_3_All",0,1.15931103075087,293.159
"ksvm_rbfdot_0.4_3_All",0,1.16007050231112,293.159
"ksvm_rbfdot_0.5_3_All",0,1.16129438987751,293.159
"ksvm_rbfdot_0.6_3_All",0,1.16248669232468,293.159
"ksvm_rbfdot_0.7_3_All",0,1.16310271464013,293.159
"ksvm_rbfdot_2.5_3_All",0,1.16224536048638,293.159
"ksvm_rbfdot_3_3_All",0,1.16160106184854,293.159
"ksvm_rbfdot_3.5_3_All",0,1.16871405296142,293.159
"ksvm_rbfdot_0.001_5_All",0,1.1834421973107,293.159
"ksvm_rbfdot_0.01_5_All",0.416496961969167,1.16528657541845,293.159
"ksvm_rbfdot_0.1_5_All",0,1.18774311464501,293.159
"ksvm_rbfdot_0.2_5_All",0,1.18190448029412,293.159
"ksvm_rbfdot_0.3_5_All",0,1.18499799188426,293.159
"ksvm_rbfdot_0.4_5_All",0,1.17655855437171,293.159
"ksvm_rbfdot_0.5_5_All",0,1.17556759428389,293.159
"ksvm_rbfdot_0.6_5_All",0,1.19258752791998,293.159
"ksvm_rbfdot_0.7_5_All",0,1.1732794549226,293.159
"ksvm_rbfdot_2.5_5_All",0,1.18324114554108,293.159
"ksvm_rbfdot_3_5_All",0,1.17984208444912,293.159
"ksvm_rbfdot_3.5_5_All",0,1.17258532147477,293.159
"ksvm_rbfdot_0.001_6_All",0,1.1958252950534,293.159
"ksvm_rbfdot_0.01_6_All",0,1.20287084559023,293.159
"ksvm_rbfdot_0.1_6_All",0,1.20295466331542,293.159
"ksvm_rbfdot_0.2_6_All",0,1.1893867129419,293.159
"ksvm_rbfdot_0.3_6_All",0,1.20402792023939,293.159
"ksvm_rbfdot_0.4_6_All",0,1.19714179801604,293.159
"ksvm_rbfdot_0.5_6_All",0,1.19855678733071,293.159
"ksvm_rbfdot_0.6_6_All",0,1.19864297099718,293.159
"ksvm_rbfdot_0.7_6_All",0,1.21884147565988,293.159
"ksvm_rbfdot_2.5_6_All",0,1.19707845434561,293.159
"ksvm_rbfdot_3_6_All",0,1.19755537025218,293.159
"ksvm_rbfdot_3.5_6_All",0,1.2155747399394,293.159
"ksvm_rbfdot_0.001_8_All",0,1.22938322062445,293.159
"ksvm_rbfdot_0.01_8_All",0,1.25222989908698,293.159
"ksvm_rbfdot_0.1_8_All",0,1.22920539793569,293.159
"ksvm_rbfdot_0.2_8_All",0,1.26242135693783,293.159
"ksvm_rbfdot_0.3_8_All",0,1.25093812769468,293.159
"ksvm_rbfdot_0.4_8_All",0,1.25547993323944,293.159
"ksvm_rbfdot_0.5_8_All",0,1.27781335336492,293.159
"ksvm_rbfdot_0.6_8_All",0,1.23703596703662,293.159
"ksvm_rbfdot_0.7_8_All",0,1.23992596897855,293.159
"ksvm_rbfdot_2.5_8_All",0,1.24627817612661,293.159
"ksvm_rbfdot_3_8_All",0,1.24575342859803,293.159
"ksvm_rbfdot_3.5_8_All",0,1.23325384136369,293.159
"ksvm_rbfdot_0.001_10_All",0,1.29539712672464,293.159
"ksvm_rbfdot_0.01_10_All",0,1.28662008157523,293.159
"ksvm_rbfdot_0.1_10_All",0,1.27880782341103,293.159
"ksvm_rbfdot_0.2_10_All",0,1.28870847834259,293.159
"ksvm_rbfdot_0.3_10_All",0,1.31220166530271,293.159
