,sl_cup_svm_2.coef,sl_cup_svm_2.cvRisk,,,,sl_cup_svm_2.coef,sl_cup_svm_2.cvRisk
ksvm_rbfdot_0.1_1000_All,0,10.0375891595068,,,ksvm_rbfdot_0.001_0.1_All,0.274281755397224,2.55031673413898
ksvm_rbfdot_8_1000_All,0,10.0542936765501,,,ksvm_rbfdot_0.4_1_All,0.362065690236606,2.36716891062055
ksvm_rbfdot_0.4_1000_All,0,10.1151847263422,,,ksvm_rbfdot_0.01_10_All,0.322740704800323,2.48968704585511
ksvm_rbfdot_0.05_0.001_All,0,15.9822651885635,,,ksvm_rbfdot_0.1_10_All,0.00919158558369421,2.49138311442228
ksvm_rbfdot_8_0.001_All,0,15.9850368135587,,,ksvm_rbfdot_0.7_100_All,0.0144265513315284,3.52021251817904
ksvm_rbfdot_0.001_0.001_All,0,15.9927558243372,,,ksvm_rbfdot_0.7_1000_All,0.0172937126506249,9.55289517014208
ksvm_rbfdot_0.4_0.001_All,0,15.9967455474763,,,,,
ksvm_rbfdot_10_0.001_All,0,16.0003813773403,,,,,
ksvm_rbfdot_1_0.001_All,0,16.0059491383356,,,,,
ksvm_rbfdot_0.1_0.001_All,0,16.0079215326636,,,,,
ksvm_rbfdot_5_0.001_All,0,16.0118506257027,,,,,
ksvm_rbfdot_3_0.001_All,0,16.0299548620966,,,,,
ksvm_rbfdot_0.01_0.001_All,0,16.0321537060497,,,,,
ksvm_rbfdot_0.7_0.001_All,0,16.0484071747095,,,,,
ksvm_rbfdot_0.4_1_All,0.362065690236606,2.36716891062055,,,,,
ksvm_rbfdot_0.1_1_All,0,2.37628276210328,,,,,
ksvm_rbfdot_10_1_All,0,2.37722102160144,,,,,
ksvm_rbfdot_5_1_All,0,2.37812860260994,,,,,
ksvm_rbfdot_0.7_1_All,0,2.37906110472678,,,,,
ksvm_rbfdot_0.01_1_All,0,2.37976080799823,,,,,
ksvm_rbfdot_0.001_1_All,0,2.38203183402591,,,,,
ksvm_rbfdot_0.05_1_All,0,2.38359817044959,,,,,
ksvm_rbfdot_8_1_All,0,2.38629944765518,,,,,
ksvm_rbfdot_1_1_All,0,2.38666250363973,,,,,
ksvm_rbfdot_3_1_All,0,2.39110997457356,,,,,
ksvm_rbfdot_0.01_10_All,0.322740704800323,2.48968704585511,,,,,
ksvm_rbfdot_0.1_10_All,0.00919158558369421,2.49138311442228,,,,,
ksvm_rbfdot_3_10_All,0,2.50039285678114,,,,,
ksvm_rbfdot_0.7_10_All,0,2.50208437359088,,,,,
ksvm_rbfdot_1_10_All,0,2.50386550496959,,,,,
ksvm_rbfdot_0.4_10_All,0,2.50748848913539,,,,,
ksvm_rbfdot_0.05_10_All,0,2.50798442842136,,,,,
ksvm_rbfdot_10_10_All,0,2.51015813789868,,,,,
ksvm_rbfdot_5_10_All,0,2.51268513525789,,,,,
ksvm_rbfdot_8_10_All,0,2.51431681058978,,,,,
ksvm_rbfdot_0.001_10_All,0,2.54692115813916,,,,,
ksvm_rbfdot_0.001_0.1_All,0.274281755397224,2.55031673413898,,,,,
ksvm_rbfdot_5_0.1_All,0,2.56819250804133,,,,,
ksvm_rbfdot_8_0.1_All,0,2.56839791556302,,,,,
ksvm_rbfdot_0.01_0.1_All,0,2.57185238586289,,,,,
ksvm_rbfdot_0.7_0.1_All,0,2.57294146023217,,,,,
ksvm_rbfdot_0.05_0.1_All,0,2.57345179021691,,,,,
ksvm_rbfdot_10_0.1_All,0,2.57733487269099,,,,,
ksvm_rbfdot_0.1_0.1_All,0,2.57982405039453,,,,,
ksvm_rbfdot_1_0.1_All,0,2.58169672859522,,,,,
ksvm_rbfdot_0.4_0.1_All,0,2.58813137013697,,,,,
ksvm_rbfdot_3_0.1_All,0,2.58969571427931,,,,,
ksvm_rbfdot_0.7_100_All,0.0144265513315284,3.52021251817904,,,,,
ksvm_rbfdot_0.01_100_All,0,3.53112495970078,,,,,
ksvm_rbfdot_3_100_All,0,3.544843483916,,,,,
ksvm_rbfdot_0.05_100_All,0,3.57978766838302,,,,,
ksvm_rbfdot_8_100_All,0,3.62458277620571,,,,,
ksvm_rbfdot_5_100_All,0,3.62583101126391,,,,,
ksvm_rbfdot_0.1_100_All,0,3.62964227698648,,,,,
ksvm_rbfdot_0.4_100_All,0,3.65969691984,,,,,
ksvm_rbfdot_10_100_All,0,3.68468226846727,,,,,
ksvm_rbfdot_1_100_All,0,3.69732232467086,,,,,
ksvm_rbfdot_0.001_100_All,0,3.72496305027809,,,,,
ksvm_rbfdot_10_0.01_All,0,6.6201799736873,,,,,
ksvm_rbfdot_0.7_0.01_All,0,6.63104495010409,,,,,
ksvm_rbfdot_5_0.01_All,0,6.64152557063001,,,,,
ksvm_rbfdot_0.001_0.01_All,0,6.64981416094444,,,,,
ksvm_rbfdot_1_0.01_All,0,6.66284302011163,,,,,
ksvm_rbfdot_0.1_0.01_All,0,6.66541586747546,,,,,
ksvm_rbfdot_8_0.01_All,0,6.6699291603409,,,,,
ksvm_rbfdot_3_0.01_All,0,6.68104126997793,,,,,
ksvm_rbfdot_0.4_0.01_All,0,6.68344584730068,,,,,
ksvm_rbfdot_0.05_0.01_All,0,6.69833142830991,,,,,
ksvm_rbfdot_0.01_0.01_All,0,6.70521823600181,,,,,
ksvm_rbfdot_0.7_1000_All,0.0172937126506249,9.55289517014208,,,,,
ksvm_rbfdot_1_1000_All,0,9.65990567558516,,,,,
ksvm_rbfdot_0.01_1000_All,0,9.67484535344954,,,,,
ksvm_rbfdot_10_1000_All,0,9.69820958603791,,,,,
ksvm_rbfdot_0.05_1000_All,0,9.8694400948999,,,,,
ksvm_rbfdot_3_1000_All,0,9.87638787485454,,,,,
ksvm_rbfdot_5_1000_All,0,9.89999324586807,,,,,
ksvm_rbfdot_0.001_1000_All,0,9.97726662461336,,,,,
