,sl_cup_svm_2.coef,sl_cup_svm_2.cvRisk,sl_cup_svm_2.times.train.3.
ksvm_rbfdot_0.4_1000_All,0,10.0008912925559,182.471000000001
ksvm_rbfdot_3.5_1000_All,0,10.1198347739409,182.471000000001
ksvm_rbfdot_0.1_1000_All,0,10.2016000982856,182.471000000001
ksvm_rbfdot_0.001_1000_All,0,10.2840002157488,182.471000000001
ksvm_rbfdot_2.5_0.7_All,0.232062310281316,2.34863107746507,182.471000000001
ksvm_rbfdot_0.2_3_All,0,2.35064406039792,182.471000000001
ksvm_rbfdot_3.5_2_All,0,2.35462764505359,182.471000000001
ksvm_rbfdot_3_3_All,0,2.35490719875519,182.471000000001
ksvm_rbfdot_0.2_1_All,0,2.35538743481864,182.471000000001
ksvm_rbfdot_0.3_3_All,0,2.35815971842957,182.471000000001
ksvm_rbfdot_0.6_3_All,0,2.35886582227216,182.471000000001
ksvm_rbfdot_0.5_0.7_All,0,2.36012687311136,182.471000000001
ksvm_rbfdot_0.3_1_All,0,2.36049641209138,182.471000000001
ksvm_rbfdot_0.001_1_All,0,2.36063385777029,182.471000000001
ksvm_rbfdot_0.001_0.7_All,0,2.36155110815552,182.471000000001
ksvm_rbfdot_2.5_3_All,0,2.36160080173925,182.471000000001
ksvm_rbfdot_0.001_3_All,0,2.36195842068609,182.471000000001
ksvm_rbfdot_0.6_0.7_All,0,2.36229658935286,182.471000000001
ksvm_rbfdot_0.5_3_All,0,2.36254545674052,182.471000000001
ksvm_rbfdot_0.01_0.7_All,0,2.36268062767316,182.471000000001
ksvm_rbfdot_0.5_2_All,0,2.36293086554514,182.471000000001
ksvm_rbfdot_3.5_1_All,0,2.36302464824745,182.471000000001
ksvm_rbfdot_0.7_3_All,0,2.36322430111007,182.471000000001
ksvm_rbfdot_0.2_0.7_All,0,2.3636683812546,182.471000000001
ksvm_rbfdot_0.7_2_All,0,2.36418252878626,182.471000000001
ksvm_rbfdot_0.4_1_All,0,2.36432732241554,182.471000000001
ksvm_rbfdot_0.01_3_All,0,2.36492816706684,182.471000000001
ksvm_rbfdot_0.01_5_All,0.166158690610182,2.36532788440316,182.471000000001
ksvm_rbfdot_0.1_0.7_All,0,2.36542597908057,182.471000000001
ksvm_rbfdot_0.3_2_All,0,2.36545835887893,182.471000000001
ksvm_rbfdot_3_2_All,0,2.36576585434204,182.471000000001
ksvm_rbfdot_0.001_2_All,0,2.36672344142136,182.471000000001
ksvm_rbfdot_2.5_2_All,0,2.36687312791882,182.471000000001
ksvm_rbfdot_0.5_1_All,0,2.36703644525403,182.471000000001
ksvm_rbfdot_0.4_2_All,0,2.36729938208785,182.471000000001
ksvm_rbfdot_0.3_0.7_All,0,2.36735350016283,182.471000000001
ksvm_rbfdot_0.01_2_All,0,2.36755527769067,182.471000000001
ksvm_rbfdot_0.6_2_All,0,2.36772701590257,182.471000000001
ksvm_rbfdot_3_1_All,0,2.36783091360196,182.471000000001
ksvm_rbfdot_0.7_0.7_All,0,2.36812708010759,182.471000000001
ksvm_rbfdot_3.5_0.7_All,0,2.36877872370177,182.471000000001
ksvm_rbfdot_0.2_2_All,0,2.3698334588067,182.471000000001
ksvm_rbfdot_2.5_1_All,0,2.37016305298276,182.471000000001
ksvm_rbfdot_0.1_2_All,0,2.37017694567982,182.471000000001
ksvm_rbfdot_0.4_0.7_All,0,2.37283375529809,182.471000000001
ksvm_rbfdot_0.6_1_All,0,2.3736584428944,182.471000000001
ksvm_rbfdot_3_0.7_All,0,2.37389283008313,182.471000000001
ksvm_rbfdot_0.7_1_All,0,2.37560040970981,182.471000000001
ksvm_rbfdot_0.4_3_All,0,2.37648810903658,182.471000000001
ksvm_rbfdot_0.1_1_All,0,2.37716021839613,182.471000000001
ksvm_rbfdot_0.01_1_All,0,2.37890351896465,182.471000000001
ksvm_rbfdot_3.5_3_All,0,2.3789380717555,182.471000000001
