,sl_cup_svm_2.coef,sl_cup_svm_2.cvRisk
ksvm_rbfdot_2.5_0.7_All,0.379747584284951,2.33897277225355
ksvm_rbfdot_3.5_0.7_All,0,2.3534765647607
ksvm_rbfdot_0.3_0.7_All,0,2.35656351474129
ksvm_rbfdot_0.2_0.7_All,0,2.35856327435657
ksvm_rbfdot_0.4_0.7_All,0,2.35866771974268
ksvm_rbfdot_0.6_2_All,0,2.35879584788329
ksvm_rbfdot_0.4_2_All,0,2.35892023032925
ksvm_rbfdot_0.2_2_All,0,2.35894051135659
ksvm_rbfdot_0.5_1_All,0,2.3603678573013
ksvm_rbfdot_0.3_3_All,0,2.36142205102448
ksvm_rbfdot_0.7_2_All,0,2.36182831691445
ksvm_rbfdot_0.1_0.7_All,0,2.36199456349013
ksvm_rbfdot_0.3_2_All,0,2.36247468039254
ksvm_rbfdot_0.4_1_All,0,2.36256282462313
ksvm_rbfdot_3.5_3_All,0,2.36257976322896
ksvm_rbfdot_3_2_All,0,2.36270181783047
ksvm_rbfdot_2.5_3_All,0,2.36357312287106
ksvm_rbfdot_0.4_3_All,0,2.36415299361502
ksvm_rbfdot_0.3_1_All,0,2.36416503645463
ksvm_rbfdot_3_0.7_All,0,2.36462109947132
ksvm_rbfdot_0.6_0.7_All,0,2.36569600744653
ksvm_rbfdot_3_1_All,0,2.36679845753433
ksvm_rbfdot_2.5_2_All,0,2.36685802587236
ksvm_rbfdot_0.7_1_All,0,2.36728061840526
ksvm_rbfdot_0.6_3_All,0,2.36756799180521
ksvm_rbfdot_0.2_1_All,0,2.36773107373189
ksvm_rbfdot_0.1_2_All,0,2.36839937552515
ksvm_rbfdot_0.5_0.7_All,0,2.36917642632702
ksvm_rbfdot_3.5_1_All,0,2.36918322701057
ksvm_rbfdot_0.7_3_All,0,2.37007387826976
ksvm_rbfdot_0.5_2_All,0,2.37249625775013
ksvm_rbfdot_0.7_0.7_All,0,2.37267269780364
ksvm_rbfdot_0.5_3_All,0,2.37339876301524
ksvm_rbfdot_0.1_1_All,0,2.37346280588149
ksvm_rbfdot_2.5_1_All,0,2.37490097813011
ksvm_rbfdot_3.5_2_All,0,2.37515434919766
ksvm_rbfdot_2.5_5_All,0,2.37596855970718
ksvm_rbfdot_0.6_1_All,0,2.37612274058688
ksvm_rbfdot_0.2_3_All,0,2.37716134273441
ksvm_rbfdot_3_3_All,0,2.37936337241448
ksvm_rbfdot_0.6_5_All,0,2.37989720812047
ksvm_rbfdot_0.1_3_All,0,2.3809697857157
ksvm_rbfdot_0.5_5_All,0,2.38316647962563
ksvm_rbfdot_0.1_5_All,0,2.38434793794595
ksvm_rbfdot_0.7_5_All,0,2.38671300610233
ksvm_rbfdot_3_5_All,0,2.38819221092328
ksvm_rbfdot_0.4_5_All,0,2.39167223647786
ksvm_rbfdot_0.1_6_All,0,2.39427546323833
ksvm_rbfdot_0.5_0.3_All,0,2.39440657756388
ksvm_rbfdot_0.2_5_All,0,2.39599390265788
ksvm_rbfdot_3.5_5_All,0,2.39870307533149
ksvm_rbfdot_0.3_5_All,0,2.40110087419737
ksvm_rbfdot_0.7_6_All,0,2.40165037415531
ksvm_rbfdot_0.4_6_All,0,2.40279806539681
ksvm_rbfdot_0.3_6_All,0,2.40306128019847
ksvm_rbfdot_0.7_0.3_All,0,2.40702569676566
ksvm_rbfdot_0.5_6_All,0,2.40808743249867
ksvm_rbfdot_0.3_0.3_All,0,2.40946568055082
ksvm_rbfdot_3.5_6_All,0,2.40954006130975
ksvm_rbfdot_0.6_0.3_All,0,2.4106564791179
ksvm_rbfdot_0.1_0.3_All,0,2.41104319442288
ksvm_rbfdot_0.6_6_All,0,2.41127274116275
ksvm_rbfdot_0.2_6_All,0,2.41182953250744
ksvm_rbfdot_3_0.3_All,0,2.41243879645456
ksvm_rbfdot_0.4_0.3_All,0,2.41278463103189
ksvm_rbfdot_0.1_8_All,0,2.41399441588178
ksvm_rbfdot_2.5_0.3_All,0,2.41724675361581
ksvm_rbfdot_3_6_All,0,2.41780820531657
ksvm_rbfdot_2.5_6_All,0,2.41973407661416
ksvm_rbfdot_0.2_0.3_All,0,2.42071603683228
ksvm_rbfdot_3.5_0.3_All,0,2.42262269742041
ksvm_rbfdot_0.3_8_All,0,2.42504920835852
ksvm_rbfdot_3.5_8_All,0,2.42594027785673
ksvm_rbfdot_0.5_8_All,0,2.42845480139483
ksvm_rbfdot_2.5_8_All,0,2.42885256384871
ksvm_rbfdot_0.7_8_All,0,2.43533090661539
ksvm_rbfdot_0.6_8_All,0,2.43747032049825
ksvm_rbfdot_0.4_8_All,0,2.43772642844564
ksvm_rbfdot_0.2_8_All,0,2.44409232580072
ksvm_rbfdot_0.1_10_All,0,2.44918056140294
ksvm_rbfdot_3_8_All,0,2.44976835761778
ksvm_rbfdot_0.01_10_All,0,2.45583863026161
ksvm_rbfdot_3_10_All,0.288860566270216,2.45698409148341
ksvm_rbfdot_2.5_10_All,0,2.45916684466193
ksvm_rbfdot_0.6_10_All,0.112330664486049,2.45981191492475
ksvm_rbfdot_0.5_10_All,0,2.4602330134207
ksvm_rbfdot_0.2_10_All,0,2.46270232133716
ksvm_rbfdot_0.7_10_All,0,2.46284659781658
