"","sl_cup_ranger_1.coef","sl_cup_ranger_1.cvRisk","sl_cup_ranger_1.times.train.3."
"ranger_250_1_All",0,1.18217864917823,1642.428
"ranger_350_1_All",0,1.17911718733074,1642.428
"ranger_500_1_All",0,1.1735688660319,1642.428
"ranger_1000_1_All",0,1.17078514113456,1642.428
"ranger_1500_1_All",0,1.1795851998867,1642.428
"ranger_2000_1_All",0,1.1683145253426,1642.428
"ranger_2500_1_All",0,1.16820533496037,1642.428
"ranger_3000_1_All",0,1.16848246868874,1642.428
"ranger_4000_1_All",0,1.16924026054639,1642.428
"ranger_250_2_All",0.131451169358598,1.08226068781462,1642.428
"ranger_350_2_All",0,1.087873360079,1642.428
"ranger_500_2_All",0,1.08282488731439,1642.428
"ranger_1000_2_All",0,1.08160643344891,1642.428
"ranger_1500_2_All",0,1.08025967776398,1642.428
"ranger_2000_2_All",0,1.08009892587627,1642.428
"ranger_2500_2_All",0.17030621454601,1.07820490933797,1642.428
"ranger_3000_2_All",0,1.07947251453554,1642.428
"ranger_4000_2_All",0.00360628407658783,1.07841802165697,1642.428
"ranger_250_3_All",0.00586962800772032,1.0807933983608,1642.428
"ranger_350_3_All",0,1.08811143922373,1642.428
"ranger_500_3_All",0.395348785098047,1.07290341767778,1642.428
"ranger_1000_3_All",0.0398200528888322,1.0743567681174,1642.428
"ranger_1500_3_All",0.0373958848539543,1.07349457778174,1642.428
"ranger_2000_3_All",0.216201981170251,1.07310854828761,1642.428
"ranger_2500_3_All",0,1.07374696416393,1642.428
"ranger_3000_3_All",0,1.07309071752566,1642.428
"ranger_4000_3_All",0,1.07520467338434,1642.428
"ranger_250_4_All",0,1.10679196572132,1642.428
"ranger_350_4_All",0,1.09054468676092,1642.428
"ranger_500_4_All",0,1.10185759813698,1642.428
"ranger_1000_4_All",0,1.08464309145851,1642.428
"ranger_1500_4_All",0,1.08850052709774,1642.428
"ranger_2000_4_All",0,1.0849314682722,1642.428
"ranger_2500_4_All",0,1.0879729945812,1642.428
"ranger_3000_4_All",0,1.08897521536496,1642.428
"ranger_4000_4_All",0,1.08792395996982,1642.428
"ranger_250_5_All",0,1.11219797703405,1642.428
"ranger_350_5_All",0,1.10697517833231,1642.428
"ranger_500_5_All",0,1.10576511366227,1642.428
"ranger_1000_5_All",0,1.10565701539468,1642.428
"ranger_1500_5_All",0,1.10889633416492,1642.428
"ranger_2000_5_All",0,1.1029404777936,1642.428
"ranger_2500_5_All",0,1.10805249920333,1642.428
"ranger_3000_5_All",0,1.10342369923092,1642.428
"ranger_4000_5_All",0,1.10358130595226,1642.428
"ranger_250_6_All",0,1.14137685974955,1642.428
"ranger_350_6_All",0,1.12057950825511,1642.428
"ranger_500_6_All",0,1.12620240328319,1642.428
"ranger_1000_6_All",0,1.12914602925951,1642.428
"ranger_1500_6_All",0,1.1341260899669,1642.428
"ranger_2000_6_All",0,1.12610780215579,1642.428
"ranger_2500_6_All",0,1.12551629052395,1642.428
"ranger_3000_6_All",0,1.124140474724,1642.428
"ranger_4000_6_All",0,1.12377326535103,1642.428
"ranger_250_7_All",0,1.15601548858459,1642.428
"ranger_350_7_All",0,1.1456609385227,1642.428
"ranger_500_7_All",0,1.15117218220673,1642.428
"ranger_1000_7_All",0,1.15289342522508,1642.428
"ranger_1500_7_All",0,1.1394339052173,1642.428
"ranger_2000_7_All",0,1.14341206955482,1642.428
"ranger_2500_7_All",0,1.14571567282842,1642.428
"ranger_3000_7_All",0,1.14312120936587,1642.428
"ranger_4000_7_All",0,1.14297759531987,1642.428
"ranger_250_8_All",0,1.1747394339972,1642.428
"ranger_350_8_All",0,1.15908146850781,1642.428
"ranger_500_8_All",0,1.16181036705907,1642.428
"ranger_1000_8_All",0,1.1613586455258,1642.428
"ranger_1500_8_All",0,1.1648141639364,1642.428
"ranger_2000_8_All",0,1.1640738492619,1642.428
"ranger_2500_8_All",0,1.16865602170978,1642.428
"ranger_3000_8_All",0,1.16029668319373,1642.428
"ranger_4000_8_All",0,1.16130563857278,1642.428
"ranger_250_9_All",0,1.16387406569562,1642.428
"ranger_350_9_All",0,1.1844802276318,1642.428
"ranger_500_9_All",0,1.18299311337126,1642.428
"ranger_1000_9_All",0,1.17977706456035,1642.428
"ranger_1500_9_All",0,1.18764399596022,1642.428
"ranger_2000_9_All",0,1.17970309451481,1642.428
"ranger_2500_9_All",0,1.18336038331325,1642.428
"ranger_3000_9_All",0,1.18559482925905,1642.428
"ranger_4000_9_All",0,1.18800187305563,1642.428
