,sl_cup_svm_2.coef,sl_cup_svm_2.cvRisk,sl_cup_svm_2.times.train.3.
ksvm_rbfdot_0.05_1000_All,0,10.0286615898529,145.834999999999
ksvm_rbfdot_3_1000_All,0,10.0375250590044,145.834999999999
ksvm_rbfdot_5_1000_All,0,10.3826306680905,145.834999999999
ksvm_rbfdot_5_0.001_All,0,15.9606320551031,145.834999999999
ksvm_rbfdot_0.1_0.001_All,0,15.9731970710471,145.834999999999
ksvm_rbfdot_0.001_0.001_All,0,15.975955364896,145.834999999999
ksvm_rbfdot_8_0.001_All,0,15.9790569195366,145.834999999999
ksvm_rbfdot_0.4_0.001_All,0,15.9978017459321,145.834999999999
ksvm_rbfdot_3_0.001_All,0,16.0041722516328,145.834999999999
ksvm_rbfdot_10_0.001_All,0,16.0059544552009,145.834999999999
ksvm_rbfdot_0.05_0.001_All,0,16.0091027340313,145.834999999999
ksvm_rbfdot_1_0.001_All,0,16.0208353586723,145.834999999999
ksvm_rbfdot_0.7_0.001_All,0,16.0226212524645,145.834999999999
ksvm_rbfdot_0.01_0.001_All,0,16.0628865079915,145.834999999999
ksvm_rbfdot_0.001_1_All,0.233721821939705,2.35144065335202,145.834999999999
ksvm_rbfdot_10_1_All,0,2.36013219931848,145.834999999999
ksvm_rbfdot_1_1_All,0,2.36147946975574,145.834999999999
ksvm_rbfdot_0.7_1_All,0,2.3620094529551,145.834999999999
ksvm_rbfdot_0.4_1_All,0,2.36473136195483,145.834999999999
ksvm_rbfdot_0.05_1_All,0,2.36475471309217,145.834999999999
ksvm_rbfdot_0.1_1_All,0,2.36968573692352,145.834999999999
ksvm_rbfdot_0.01_1_All,0,2.37063232676966,145.834999999999
ksvm_rbfdot_3_1_All,0,2.37126410736647,145.834999999999
ksvm_rbfdot_5_1_All,0,2.37167916082992,145.834999999999
ksvm_rbfdot_8_1_All,0,2.38155093848639,145.834999999999
ksvm_rbfdot_0.05_10_All,0,2.45598078785713,145.834999999999
ksvm_rbfdot_0.01_10_All,0,2.45781071852876,145.834999999999
ksvm_rbfdot_8_10_All,0,2.46098013936211,145.834999999999
ksvm_rbfdot_0.001_10_All,0.424713280020642,2.46197910518713,145.834999999999
ksvm_rbfdot_5_10_All,0,2.46585989085932,145.834999999999
ksvm_rbfdot_0.4_10_All,0,2.46710982375781,145.834999999999
ksvm_rbfdot_10_10_All,0,2.46853965248851,145.834999999999
ksvm_rbfdot_0.7_10_All,0,2.47169780268249,145.834999999999
ksvm_rbfdot_3_10_All,0,2.47177108998259,145.834999999999
ksvm_rbfdot_1_10_All,0,2.47256970294359,145.834999999999
ksvm_rbfdot_0.1_10_All,0,2.47898513219505,145.834999999999
ksvm_rbfdot_0.05_0.1_All,0.332863923705813,2.52825715035572,145.834999999999
ksvm_rbfdot_3_0.1_All,0,2.53498801412753,145.834999999999
ksvm_rbfdot_0.7_0.1_All,0,2.5434082508047,145.834999999999
ksvm_rbfdot_0.4_0.1_All,0,2.54456270290587,145.834999999999
ksvm_rbfdot_0.001_0.1_All,0,2.54589253433326,145.834999999999
ksvm_rbfdot_5_0.1_All,0,2.54673163675559,145.834999999999
ksvm_rbfdot_1_0.1_All,0,2.54775930417803,145.834999999999
ksvm_rbfdot_10_0.1_All,0,2.55271830062336,145.834999999999
ksvm_rbfdot_0.01_0.1_All,0,2.55845846036564,145.834999999999
ksvm_rbfdot_8_0.1_All,0,2.56007855292067,145.834999999999
ksvm_rbfdot_0.1_0.1_All,0,2.56251414979569,145.834999999999
ksvm_rbfdot_1_100_All,0,3.67249233971086,145.834999999999
ksvm_rbfdot_0.7_100_All,0,3.7051814534739,145.834999999999
ksvm_rbfdot_8_100_All,0,3.70691696105427,145.834999999999
ksvm_rbfdot_0.001_100_All,0,3.72066296533674,145.834999999999
ksvm_rbfdot_3_100_All,0,3.73096881527749,145.834999999999
ksvm_rbfdot_5_100_All,0,3.76872095498956,145.834999999999
ksvm_rbfdot_10_100_All,0,3.7718706414739,145.834999999999
ksvm_rbfdot_0.4_100_All,0,3.82023907262403,145.834999999999
ksvm_rbfdot_0.1_100_All,0,3.82833280247082,145.834999999999
ksvm_rbfdot_0.01_100_All,0,3.82875533668259,145.834999999999
ksvm_rbfdot_0.05_100_All,0,3.93413215916319,145.834999999999
ksvm_rbfdot_1_0.01_All,0,6.59238579749064,145.834999999999
ksvm_rbfdot_0.05_0.01_All,0,6.60412736293791,145.834999999999
ksvm_rbfdot_3_0.01_All,0,6.61748101001483,145.834999999999
ksvm_rbfdot_0.4_0.01_All,0,6.61941554012983,145.834999999999
ksvm_rbfdot_8_0.01_All,0,6.62610392594597,145.834999999999
ksvm_rbfdot_0.01_0.01_All,0,6.62668227608563,145.834999999999
ksvm_rbfdot_0.001_0.01_All,0,6.63310902886069,145.834999999999
ksvm_rbfdot_0.1_0.01_All,0,6.6358822588942,145.834999999999
ksvm_rbfdot_5_0.01_All,0,6.64403258348331,145.834999999999
ksvm_rbfdot_0.7_0.01_All,0,6.65283894105406,145.834999999999
ksvm_rbfdot_10_0.01_All,0,6.68158916597727,145.834999999999
ksvm_rbfdot_1_1000_All,0,9.48946382542024,145.834999999999
ksvm_rbfdot_0.1_1000_All,0.00870097433383973,9.52056841059797,145.834999999999
ksvm_rbfdot_0.4_1000_All,0,9.65447782348277,145.834999999999
ksvm_rbfdot_0.01_1000_All,0,9.83218791201971,145.834999999999
ksvm_rbfdot_10_1000_All,0,9.84970219792476,145.834999999999
ksvm_rbfdot_0.7_1000_All,0,9.85686037547793,145.834999999999
ksvm_rbfdot_0.001_1000_All,0,9.87682345788317,145.834999999999
ksvm_rbfdot_8_1000_All,0,9.95026360822063,145.834999999999
