"","sl_cup_glmnet_2.coef","sl_cup_glmnet_2.cvRisk"
"glmnet_0_100_TRUE_All",0,3.72932742357168
"glmnet_0.1_100_TRUE_All",0.976429451524364,3.69663717950737
"glmnet_0.2_100_TRUE_All",0,3.69701524766479
"glmnet_0.3_100_TRUE_All",0,3.69777550715773
"glmnet_0.4_100_TRUE_All",0,3.69771517517689
"glmnet_0.5_100_TRUE_All",0,3.69774963121967
"glmnet_0.6_100_TRUE_All",0,3.69758998977728
"glmnet_0.7_100_TRUE_All",0,3.69797809022393
"glmnet_0.8_100_TRUE_All",0,3.69806394465249
"glmnet_0.9_100_TRUE_All",0,3.69835515146973
"glmnet_1_100_TRUE_All",0,3.69832264702148
"glmnet_0_200_TRUE_All",0,3.72948237875539
"glmnet_0.1_200_TRUE_All",0,3.69814157697523
"glmnet_0.2_200_TRUE_All",0,3.69842305556312
"glmnet_0.3_200_TRUE_All",0,3.69783902557655
"glmnet_0.4_200_TRUE_All",0,3.69824641993118
"glmnet_0.5_200_TRUE_All",0,3.69815868526343
"glmnet_0.6_200_TRUE_All",0,3.69844826064879
"glmnet_0.7_200_TRUE_All",0,3.69866633989516
"glmnet_0.8_200_TRUE_All",0,3.69866382096051
"glmnet_0.9_200_TRUE_All",0,3.69871017827398
"glmnet_1_200_TRUE_All",0,3.69888250017479
"glmnet_0_300_TRUE_All",0,3.72957272844176
"glmnet_0.1_300_TRUE_All",0,3.6977015056633
"glmnet_0.2_300_TRUE_All",0,3.6984746644817
"glmnet_0.3_300_TRUE_All",0,3.69874349921921
"glmnet_0.4_300_TRUE_All",0,3.69935012312663
"glmnet_0.5_300_TRUE_All",0,3.69953358642324
"glmnet_0.6_300_TRUE_All",0,3.69976845126162
"glmnet_0.7_300_TRUE_All",0,3.70008697214348
"glmnet_0.8_300_TRUE_All",0,3.70024654813186
"glmnet_0.9_300_TRUE_All",0,3.70050323189835
"glmnet_1_300_TRUE_All",0,3.70049063300357
"glmnet_0_400_TRUE_All",0,3.72957766641957
"glmnet_0.1_400_TRUE_All",0,3.69790769011571
"glmnet_0.2_400_TRUE_All",0,3.69878706039149
"glmnet_0.3_400_TRUE_All",0,3.69957486609888
"glmnet_0.4_400_TRUE_All",0,3.69984825351535
"glmnet_0.5_400_TRUE_All",0,3.70017268817251
"glmnet_0.6_400_TRUE_All",0,3.70082275000286
"glmnet_0.7_400_TRUE_All",0,3.70099736827646
"glmnet_0.8_400_TRUE_All",0,3.70115256627844
"glmnet_0.9_400_TRUE_All",0,3.7011803574816
"glmnet_1_400_TRUE_All",0,3.70133441784852
"glmnet_0_500_TRUE_All",0,3.72962878353641
"glmnet_0.1_500_TRUE_All",0,3.6982936678857
"glmnet_0.2_500_TRUE_All",0,3.69914172541683
"glmnet_0.3_500_TRUE_All",0,3.6999834110759
"glmnet_0.4_500_TRUE_All",0,3.70052084238553
"glmnet_0.5_500_TRUE_All",0,3.70090178495767
"glmnet_0.6_500_TRUE_All",0,3.70114690469459
"glmnet_0.7_500_TRUE_All",0,3.70176446244676
"glmnet_0.8_500_TRUE_All",0,3.70173382590229
"glmnet_0.9_500_TRUE_All",0,3.70199039487312
"glmnet_1_500_TRUE_All",0,3.70220260890453
"glmnet_0_600_TRUE_All",0,3.72963500660162
"glmnet_0.1_600_TRUE_All",0,3.69887795907752
"glmnet_0.2_600_TRUE_All",0,3.69956941997269
"glmnet_0.3_600_TRUE_All",0,3.69982096650734
"glmnet_0.4_600_TRUE_All",0,3.70098939866732
