,sl_cup_svm_1.coef,sl_cup_svm_1.cvRisk,,,,sl_cup_svm_1.coef,sl_cup_svm_1.cvRisk
ksvm_rbfdot_3_1_All,0.643384774512992,1.16651473399457,,,ksvm_rbfdot_0.7_1_All,0.151939144501121,1.16732522873184
ksvm_rbfdot_0.7_1_All,0.151939144501121,1.16732522873184,,,ksvm_rbfdot_3_1_All,0.643384774512992,1.16651473399457
ksvm_rbfdot_0.01_1_All,0,1.16910818420993,,,ksvm_rbfdot_0.7_10_All,0.155052733709278,1.28935850329787
ksvm_rbfdot_0.1_1_All,0,1.16934382356666,,,ksvm_rbfdot_3_100_All,0.0496233472766082,2.07371767055697
ksvm_rbfdot_0.05_1_All,0,1.17139771335981,,,,,
ksvm_rbfdot_8_1_All,0,1.17193025081605,,,,,
ksvm_rbfdot_1_1_All,0,1.17216538762535,,,,,
ksvm_rbfdot_5_1_All,0,1.1722827577418,,,,,
ksvm_rbfdot_0.4_1_All,0,1.17611190735162,,,sigma,"0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 2.5, 3, 3.5",
ksvm_rbfdot_0.001_1_All,0,1.17656997000543,,,C,"0.1, 0.3, 0.7,  1, 2, 3, 5, 6, 8, 10",
ksvm_rbfdot_10_1_All,0,1.17772589975476,,,,,
ksvm_rbfdot_0.7_10_All,0.155052733709278,1.28935850329787,,,,,
ksvm_rbfdot_8_10_All,0,1.29268736831743,,,,,
ksvm_rbfdot_3_10_All,0,1.29295704950592,,,,,
ksvm_rbfdot_0.1_10_All,0,1.29813404264427,,,,,
ksvm_rbfdot_0.4_10_All,0,1.29813850974103,,,,,
ksvm_rbfdot_5_10_All,0,1.30315468803612,,,,,
ksvm_rbfdot_0.05_10_All,0,1.30405917473042,,,,,
ksvm_rbfdot_10_10_All,0,1.30490032983555,,,,,
ksvm_rbfdot_0.01_10_All,0,1.30578858577283,,,,,
ksvm_rbfdot_1_10_All,0,1.30595355518539,,,,,
ksvm_rbfdot_0.001_10_All,0,1.3070649618986,,,,,
ksvm_rbfdot_10_0.1_All,0,1.51520113069026,,,,,
ksvm_rbfdot_0.01_0.1_All,0,1.51776031560105,,,,,
ksvm_rbfdot_0.001_0.1_All,0,1.51813614098808,,,,,
ksvm_rbfdot_0.1_0.1_All,0,1.51959716886654,,,,,
ksvm_rbfdot_5_0.1_All,0,1.52488293945014,,,,,
ksvm_rbfdot_0.7_0.1_All,0,1.52598011973724,,,,,
ksvm_rbfdot_1_0.1_All,0,1.52706135378114,,,,,
ksvm_rbfdot_0.05_0.1_All,0,1.52754413193072,,,,,
ksvm_rbfdot_3_0.1_All,0,1.53269438540076,,,,,
ksvm_rbfdot_0.4_0.1_All,0,1.54322586863037,,,,,
ksvm_rbfdot_8_0.1_All,0,1.55004925135206,,,,,
ksvm_rbfdot_0.01_100_All,0,2.03107713179519,,,,,
ksvm_rbfdot_0.001_100_All,0,2.05075299267953,,,,,
ksvm_rbfdot_3_100_All,0.0496233472766082,2.07371767055697,,,,,
ksvm_rbfdot_0.7_100_All,0,2.07532468150918,,,,,
ksvm_rbfdot_10_100_All,0,2.07969454251025,,,,,
ksvm_rbfdot_1_100_All,0,2.08800591015622,,,,,
ksvm_rbfdot_0.4_100_All,0,2.09238004555935,,,,,
ksvm_rbfdot_0.1_100_All,0,2.09604917928224,,,,,
ksvm_rbfdot_0.05_100_All,0,2.09986886389278,,,,,
ksvm_rbfdot_5_100_All,0,2.1059546537467,,,,,
ksvm_rbfdot_8_100_All,0,2.10781931173161,,,,,
ksvm_rbfdot_0.4_1000_All,0,3.04812940586523,,,,,
ksvm_rbfdot_0.01_1000_All,0,3.06213536426195,,,,,
ksvm_rbfdot_0.05_1000_All,0,3.07150576790142,,,,,
ksvm_rbfdot_8_1000_All,0,3.07543311061633,,,,,
ksvm_rbfdot_10_1000_All,0,3.08493899028156,,,,,
ksvm_rbfdot_0.7_1000_All,0,3.12145375951863,,,,,
ksvm_rbfdot_1_1000_All,0,3.13603036130946,,,,,
ksvm_rbfdot_5_1000_All,0,3.14536319723759,,,,,
ksvm_rbfdot_3_1000_All,0,3.1490666587952,,,,,
ksvm_rbfdot_0.1_1000_All,0,3.16012671196043,,,,,
ksvm_rbfdot_0.001_1000_All,0,3.16544428149315,,,,,
ksvm_rbfdot_0.1_0.001_All,0,32.155681276017,,,,,
ksvm_rbfdot_3_0.001_All,0,32.2598960113771,,,,,
ksvm_rbfdot_5_0.001_All,0,32.2701756768175,,,,,
ksvm_rbfdot_0.05_0.001_All,0,32.3416261837217,,,,,
ksvm_rbfdot_0.7_0.001_All,0,32.3503632551117,,,,,
ksvm_rbfdot_0.001_0.001_All,0,32.3829309148527,,,,,
ksvm_rbfdot_10_0.001_All,0,32.4960903706952,,,,,
ksvm_rbfdot_0.01_0.001_All,0,32.5179225048496,,,,,
ksvm_rbfdot_8_0.001_All,0,32.5783850876758,,,,,
ksvm_rbfdot_1_0.001_All,0,32.6254547512085,,,,,
ksvm_rbfdot_0.4_0.001_All,0,32.7162065762042,,,,,
ksvm_rbfdot_0.7_0.01_All,0,4.79584942933678,,,,,
ksvm_rbfdot_3_0.01_All,0,4.82554188823787,,,,,
ksvm_rbfdot_0.05_0.01_All,0,4.83605776883747,,,,,
